Reference,Gene,Peptide,Measurement,Protein,25%,75%,mRNA,Error,tp8mer,tp7m8,tp7A1,orf8mer,orf7m8,orf7A1,fp8mer,fp7m8,fp7A1
NM_001042369,TROVE2,-,-,-,-,-,0.178 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_001002292,GPR177,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0
NM_007357,COG2,-,-,-,-,-,0.138 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_000396,CTSK,-,-,-,-,-,0.309 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_033067,DMRTB1,-,-,-,-,-,0.247 ,0.290 ,0,0,0,0,0,0,0,0,0
NM_019073,SPATA6,-,-,-,-,-,0.072 ,0.248 ,0,0,0,0,1,0,0,0,0
NM_005026,PIK3CD,-,-,-,-,-,-0.094 ,0.210 ,0,0,0,0,0,0,0,0,0
NM_002241,KCNJ10,-,-,-,-,-,0.299 ,0.208 ,1,0,0,0,0,0,0,0,0
NM_001039464,C1ORF175,-,-,-,-,-,0.196 ,0.208 ,0,0,0,1,1,0,0,0,0
NM_003327,TNFRSF4,-,-,-,-,-,-0.432 ,0.248 ,0,0,0,0,0,0,0,0,0
NM_030937,CCNL2,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_018136,ASPM,-,-,-,-,-,-0.658 ,0.214 ,0,0,0,0,2,2,0,0,0
NM_002697,POU2F1,-,-,-,-,-,0.706 ,0.953 ,0,0,0,0,0,0,0,0,0
NM_003196,TCEA3,-,-,-,-,-,-0.333 ,0.207 ,0,0,0,0,1,0,0,0,0
NM_007033,RER1,-,-,-,-,-,0.118 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_024626,VTCN1,-,-,-,-,-,-0.488 ,0.492 ,0,0,0,0,1,0,0,0,0
NM_147193,GLIS1,-,-,-,-,-,-0.503 ,0.209 ,0,0,0,0,0,0,0,0,0
NM_000374,UROD,-,-,-,-,-,-0.134 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_018067,MAP7D1,-,-,-,-,-,-0.457 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_006608,PHTF1,-,-,-,-,-,-0.263 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_022836,DCLRE1B,-,-,-,-,-,-0.203 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_005012,ROR1,-,-,-,-,-,0.638 ,0.212 ,0,0,0,0,1,1,0,0,0
NM_152485,C1ORF74,-,-,-,-,-,-0.237 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_015176,FBXO28,2,2,0.227 ,0.124 ,0.330 ,0.332 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_024102,WDR77,-,-,-,-,-,-0.103 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_018948,ERRFI1,-,-,-,-,-,0.767 ,0.216 ,0,0,0,0,0,0,0,0,0
NM_032292,GON4L,-,-,-,-,-,0.041 ,0.204 ,0,0,0,0,1,0,0,0,0
NM_001024948,FNBP1L,-,-,-,-,-,0.068 ,0.204 ,0,0,0,0,0,1,0,0,0
NM_004326,BCL9,-,-,-,-,-,-0.364 ,0.248 ,0,0,1,0,0,1,0,1,0
NM_001114108,TTC22,-,-,-,-,-,0.277 ,0.210 ,0,0,0,0,0,0,0,0,0
NM_002964,S100A8,-,-,-,-,-,0.147 ,0.255 ,0,0,0,0,0,0,0,0,0
NM_007369,GPR161,-,-,-,-,-,-0.325 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_023077,C1ORF163,-,-,-,-,-,0.382 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_001514,GTF2B,1,2,0.117 ,0.042 ,0.193 ,-0.120 ,0.204 ,0,0,0,0,1,0,0,0,0
NM_173508,SLC35F3,-,-,-,-,-,0.143 ,0.204 ,0,0,1,0,0,0,0,0,0
NM_144988,ALG14,-,-,-,-,-,0.092 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_004675,DIRAS3,-,-,-,-,-,-0.290 ,0.224 ,1,0,0,0,1,0,0,0,0
NM_005727,TSPAN1,-,-,-,-,-,-0.106 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_021735,CLCN6,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001005752,GJB3,-,-,-,-,-,0.634 ,0.216 ,0,0,0,0,0,0,0,0,0
NM_016547,SDF4,-,-,-,-,-,-0.026 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_016456,TMEM9,-,-,-,-,-,-0.368 ,0.207 ,0,0,0,0,0,1,0,0,0
NM_015074,KIF1B,-,-,-,-,-,-0.122 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_018704,CTTNBP2NL,-,-,-,-,-,-0.306 ,0.209 ,0,2,0,0,0,0,0,0,0
NM_005999,TSNAX,-,-,-,-,-,0.062 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_020394,ZNF695,-,-,-,-,-,0.310 ,0.206 ,0,0,0,0,1,1,0,0,0
NM_144990,SLFNL1,-,-,-,-,-,0.126 ,0.698 ,0,0,0,0,0,0,0,0,0
NM_031282,FCRL4,-,-,-,-,-,0.291 ,0.460 ,0,0,0,0,1,0,0,0,0
NM_024980,GPR157,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_000778,CYP4A11,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001937,DPT,-,-,-,-,-,0.000 ,2.064 ,0,0,0,0,0,0,0,0,0
NM_178422,PAQR7,-,-,-,-,-,0.256 ,0.208 ,0,0,0,0,1,0,0,0,0
NM_001973,ELK4,-,-,-,-,-,0.008 ,0.212 ,0,0,0,0,0,0,0,0,0
NM_017707,DDEFL1,-,-,-,-,-,-0.832 ,0.218 ,0,1,0,0,0,0,0,0,0
NM_199344,SFT2D2,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0
NM_006212,PFKFB2,-,-,-,-,-,0.551 ,0.211 ,0,0,1,0,0,0,0,0,0
NM_001004342,TRIM67,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_017638,MED18,5,7,0.052 ,-0.154 ,0.108 ,-0.415 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_021633,KLHL12,-,-,-,-,-,-0.993 ,0.223 ,0,0,0,0,2,1,0,0,0
NM_001040217,FAM63A,-,-,-,-,-,-0.163 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_004455,EXTL1,-,-,-,-,-,0.179 ,0.218 ,0,0,0,0,0,0,0,0,0
NM_025188,TRIM45,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_014644,PDE4DIP,-,-,-,-,-,-,-,0,1,0,0,0,0,0,0,0
NM_001561,TNFRSF9,-,-,-,-,-,-0.204 ,0.240 ,0,0,0,0,0,0,0,0,0
NM_004905,PRDX6,8,19,0.185 ,0.119 ,0.322 ,-0.218 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_030772,GJA9,-,-,-,-,-,0.479 ,0.254 ,0,0,1,0,0,0,0,0,0
NM_001037533,GON4L,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0
NM_003126,SPTA1,-,-,-,-,-,0.603 ,0.782 ,0,0,0,0,1,0,0,0,0
NM_022731,NUCKS1,-,-,-,-,-,-0.064 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_006623,PHGDH,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_152890,COL24A1,-,-,-,-,-,0.242 ,0.233 ,0,0,0,0,0,0,0,0,0
NM_016343,CENPF,87,183,0.105 ,-0.021 ,0.231 ,-0.238 ,0.205 ,0,0,0,0,3,1,0,0,0
NM_021080,DAB1,-,-,-,-,-,0.145 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_006335,TIMM17A,-,-,-,-,-,0.142 ,0.204 ,0,1,0,0,0,0,0,0,0
NM_005646,TARBP1,-,-,-,-,-,-0.203 ,0.205 ,0,0,0,0,1,1,0,0,0
NM_030816,ANKRD13C,-,-,-,-,-,-1.231 ,0.234 ,0,3,0,0,1,0,0,0,0
NM_144625,WDR64,-,-,-,-,-,-0.123 ,0.284 ,0,0,0,0,0,0,0,0,0
NM_007323,ZFYVE9,-,-,-,-,-,-0.299 ,0.737 ,0,0,0,0,0,0,0,0,0
NM_006845,KIF2C,2,2,0.111 ,0.049 ,0.172 ,-0.695 ,0.214 ,0,1,0,0,0,0,0,0,0
NM_002061,GCLM,-,-,-,-,-,0.082 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_033407,DOCK7,-,-,-,-,-,-0.124 ,0.204 ,0,1,0,0,0,1,0,0,0
NM_201546,CDCP2,-,-,-,-,-,-0.185 ,0.478 ,0,0,0,0,0,0,0,0,0
NM_014474,SMPDL3B,-,-,-,-,-,0.310 ,0.213 ,0,0,0,0,0,0,0,0,0
NM_005686,SOX13,-,-,-,-,-,0.535 ,0.212 ,0,0,0,0,0,0,0,0,0
NM_002221,ITPKB,-,-,-,-,-,0.126 ,0.205 ,0,0,1,0,0,0,0,0,0
NM_053282,SH2D1B,-,-,-,-,-,0.225 ,1.116 ,0,1,0,0,0,0,0,0,0
NM_007167,ZMYM6,-,-,-,-,-,-0.129 ,0.207 ,0,0,0,0,1,1,0,0,0
NM_000831,GRIK3,-,-,-,-,-,0.242 ,1.221 ,1,0,0,0,0,0,0,0,0
NM_181643,C1ORF88,-,-,-,-,-,0.033 ,0.248 ,0,0,0,0,0,0,0,0,0
NM_002256,KISS1,-,-,-,-,-,0.067 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_000707,AVPR1B,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_000775,CYP2J2,-,-,-,-,-,0.071 ,0.213 ,0,0,0,0,0,0,0,0,0
NM_017596,KIF21B,-,-,-,-,-,0.272 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_175710,CR1L,-,-,-,-,-,-,-,0,0,0,1,0,0,0,0,0
NM_014409,TAF5L,2,2,1.221 ,-0.250 ,2.692 ,0.457 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_181715,CRTC2,-,-,-,-,-,0.038 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_018101,CDCA8,-,-,-,-,-,-0.331 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_005747,ELA3A,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_144698,ANKRD35,-,-,-,-,-,-0.426 ,0.300 ,0,0,0,0,0,0,0,0,0
NM_005600,NIT1,-,-,-,-,-,-0.394 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_201624,USP33,-,-,-,-,-,-0.167 ,0.205 ,1,0,0,0,0,0,0,0,0
NM_006271,S100A1,-,-,-,-,-,-0.104 ,0.438 ,0,0,0,0,0,0,0,0,0
NM_005240,ETV3,-,-,-,-,-,0.355 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_012400,PLA2G2D,-,-,-,-,-,0.218 ,0.225 ,0,0,0,0,0,0,0,0,0
NM_006085,BPNT1,-,-,-,-,-,0.000 ,2.066 ,0,0,1,0,0,0,0,0,0
NM_022367,SEMA4A,-,-,-,-,-,0.316 ,0.206 ,0,0,0,0,1,0,0,0,0
NM_178438,LCE5A,-,-,-,-,-,0.084 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_152665,TCTEX1D1,-,-,-,-,-,2.119 ,1.050 ,0,0,0,0,0,0,0,0,0
NM_173638,NBPF15,-,-,-,-,-,-,-,0,0,1,0,0,0,0,0,0
NM_014458,KLHL20,-,-,-,-,-,0.159 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_006402,HBXIP,-,-,-,-,-,0.126 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_020963,MOV10,-,-,-,-,-,-0.536 ,0.210 ,0,0,0,0,0,0,0,0,0
NM_004841,RASAL2,-,-,-,-,-,0.145 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_003594,TTF2,-,-,-,-,-,-0.390 ,0.207 ,0,0,0,0,0,0,0,0,0
NM_005620,S100A11,-,-,-,-,-,0.254 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_015485,RWDD3,-,-,-,-,-,-0.057 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_014655,SLC25A44,-,-,-,-,-,0.316 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_018122,DARS2,-,-,-,-,-,0.026 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_022089,ATP13A2,-,-,-,-,-,-0.173 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_015547,ACOT11,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_016121,KCTD3,-,-,-,-,-,-0.786 ,0.216 ,1,0,0,0,0,1,0,0,0
NM_031420,MRPL9,-,-,-,-,-,-0.204 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_014313,TMEM50A,-,-,-,-,-,0.048 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_018198,DNAJC11,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001105659,LRRC44,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_176823,S100A7A,-,-,-,-,-,0.325 ,0.362 ,0,0,0,0,0,0,0,0,0
NM_016527,HAO2,-,-,-,-,-,-0.371 ,0.594 ,0,0,0,0,0,0,0,0,0
NM_001856,COL16A1,-,-,-,-,-,-0.543 ,0.210 ,0,1,0,0,0,0,0,0,0
NM_007272,CTRC,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_207468,FLJ43505,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_003005,SELP,-,-,-,-,-,-0.323 ,0.473 ,0,0,0,0,0,0,0,0,0
NM_153262,SYT14,-,-,-,-,-,0.026 ,0.223 ,0,0,0,0,0,0,0,0,0
NM_020832,ZNF687,2,2,0.398 ,0.306 ,0.490 ,-0.232 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_003000,SDHB,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_016491,MRPL37,-,-,-,-,-,-,-,0,0,0,0,1,0,0,0,0
NM_001878,CRABP2,-,-,-,-,-,-0.019 ,0.204 ,0,0,0,0,1,0,0,0,0
NM_001618,PARP1,52,323,0.025 ,-0.066 ,0.102 ,-,-,0,0,0,0,0,0,0,0,0
NM_002016,FLG,-,-,-,-,-,-0.467 ,0.273 ,0,0,0,0,0,0,0,0,0
NM_001004432,LINGO4,-,-,-,-,-,0.359 ,0.209 ,0,0,0,0,0,0,0,0,0
NM_022356,LEPRE1,6,13,-0.479 ,-0.576 ,-0.239 ,-0.336 ,0.206 ,0,0,0,0,1,0,0,0,0
NM_022821,ELOVL1,-,-,-,-,-,-0.102 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_199342,CCDC23,-,-,-,-,-,-0.233 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_001841,CNR2,-,-,-,-,-,0.018 ,0.217 ,0,0,0,0,0,0,0,0,0
NM_019089,HES2,-,-,-,-,-,0.324 ,0.300 ,0,0,0,0,0,0,0,0,0
NM_020448,NPAL3,-,-,-,-,-,-0.389 ,0.208 ,0,1,0,0,0,0,0,0,0
NM_001009568,SMPDL3B,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_005814,GPA33,-,-,-,-,-,-0.310 ,0.270 ,0,0,0,0,0,0,0,0,0
NM_022157,RRAGC,-,-,-,-,-,0.212 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_033131,WNT3A,-,-,-,-,-,0.461 ,0.222 ,0,0,0,0,0,0,0,0,0
NM_139240,C1ORF105,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_022756,C1ORF149,3,10,-0.102 ,-0.154 ,-0.027 ,-0.615 ,0.212 ,0,1,0,0,0,0,0,0,0
NM_004319,ASTN1,-,-,-,-,-,0.408 ,0.214 ,1,1,0,0,0,0,0,0,0
NM_001032363,C1ORF151,-,-,-,-,-,0.258 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_024097,C1ORF50,-,-,-,-,-,-0.390 ,0.207 ,1,0,0,0,0,0,0,0,0
NM_199351,C1ORF32,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001014342,FLG2,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_178527,SLC9A11,-,-,-,-,-,0.516 ,0.610 ,0,0,0,0,0,0,0,0,0
NM_012168,FBXO2,-,-,-,-,-,-0.170 ,0.205 ,0,0,1,0,0,0,0,0,0
NM_001042546,ATPAF1,-,-,-,-,-,0.352 ,0.209 ,0,2,0,0,0,0,0,0,0
NM_002644,PIGR,-,-,-,-,-,0.544 ,0.222 ,0,0,0,0,0,0,0,0,0
NM_020407,RHBG,-,-,-,-,-,0.197 ,0.218 ,0,0,0,0,0,0,0,0,0
NM_181644,MFSD4,-,-,-,-,-,0.705 ,0.486 ,0,0,1,0,0,0,0,0,0
NM_001409,MEGF6,-,-,-,-,-,-0.927 ,0.221 ,0,0,0,0,0,0,0,0,0
NM_014021,SSX2IP,-,-,-,-,-,-1.427 ,0.250 ,1,0,1,0,0,1,0,0,0
NM_018216,PANK4,-,-,-,-,-,-0.207 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_001554,CYR61,-,-,-,-,-,-0.520 ,0.209 ,0,1,0,0,0,0,0,0,0
NM_006893,LGTN,-,-,-,-,-,-0.206 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_032174,TOMM40L,-,-,-,-,-,-0.274 ,0.206 ,0,0,0,0,1,0,0,0,0
NM_152900,MAGI3,-,-,-,-,-,-0.385 ,0.216 ,0,1,0,0,0,0,0,0,0
NM_020318,PAPPA2,-,-,-,-,-,-0.600 ,1.488 ,0,0,0,1,0,0,0,0,0
NM_032414,PROK1,-,-,-,-,-,0.417 ,0.247 ,0,0,0,0,0,0,0,0,0
NM_182759,FAM19A3,-,-,-,-,-,0.445 ,0.772 ,0,0,0,0,0,0,0,0,0
NM_178353,LCE1E,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_182686,KIAA0319L,-,-,-,-,-,-0.282 ,0.240 ,0,0,0,0,1,1,0,0,0
NM_001080418,DLGAP3,-,-,-,-,-,0.052 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_178430,LCE2D,-,-,-,-,-,0.312 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_000329,RPE65,-,-,-,-,-,-0.247 ,1.664 ,0,2,0,0,1,0,0,0,0
NM_001006625,PDPN,-,-,-,-,-,0.000 ,2.044 ,0,0,0,0,0,0,0,1,0
NM_002946,RPA2,1,2,0.311 ,0.250 ,0.373 ,0.290 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_014935,PLEKHA6,-,-,-,-,-,-0.508 ,0.289 ,0,0,1,0,0,0,0,0,0
NM_000696,ALDH9A1,-,-,-,-,-,0.041 ,0.204 ,0,2,0,0,0,0,0,0,0
NM_007170,TESK2,-,-,-,-,-,0.095 ,0.208 ,0,0,0,0,0,0,0,0,0
NM_003443,ZBTB17,-,-,-,-,-,-0.363 ,0.207 ,0,0,0,0,1,0,0,0,0
NM_016406,UFC1,-,-,-,-,-,-0.024 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_152290,C1ORF158,-,-,-,-,-,0.294 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_052942,GBP5,-,-,-,-,-,-0.656 ,0.225 ,0,0,0,0,0,0,0,0,0
NM_016452,CAPN9,-,-,-,-,-,0.246 ,0.222 ,0,0,0,0,0,0,0,0,0
NM_005610,RBBP4,21,102,0.109 ,0.010 ,0.228 ,-0.058 ,0.204 ,0,0,0,0,1,0,0,0,0
NM_002922,RGS1,-,-,-,-,-,0.717 ,0.323 ,0,0,0,0,0,0,0,0,0
NM_004079,CTSS,-,-,-,-,-,0.000 ,2.065 ,0,0,0,0,0,0,0,0,0
NM_031281,FCRL5,-,-,-,-,-,0.108 ,0.257 ,2,0,0,0,0,0,0,0,0
NM_052841,TSSK3,-,-,-,-,-,-0.065 ,0.216 ,0,0,0,0,0,0,0,0,0
NM_001011547,SLC5A9,-,-,-,-,-,0.210 ,0.247 ,1,1,0,0,0,0,0,0,0
NM_004153,ORC1L,2,2,-0.303 ,-0.438 ,-0.168 ,-0.185 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_007113,TCHH,-,-,-,-,-,0.078 ,0.234 ,0,0,0,0,0,0,0,0,0
NM_001039152,RGS21,-,-,-,-,-,-,-,0,0,2,0,0,0,0,0,0
NM_005267,GJA8,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_182578,THEM5,-,-,-,-,-,0.332 ,0.206 ,0,0,0,0,0,0,0,0,0
NM_000198,HSD3B2,-,-,-,-,-,0.210 ,0.212 ,0,0,0,0,1,0,0,0,0
NM_001764,CD1B,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_016022,APH1A,-,-,-,-,-,0.104 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_015090,NFASC,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_003617,RGS5,-,-,-,-,-,0.153 ,0.282 ,0,1,0,0,0,0,0,0,0
NM_020362,C1ORF128,-,-,-,-,-,0.087 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_014215,INSRR,-,-,-,-,-,-0.130 ,0.291 ,0,0,0,0,0,0,0,0,0
NM_005540,INPP5B,-,-,-,-,-,-0.549 ,0.277 ,0,0,0,0,0,0,0,0,0
NM_016233,PADI3,-,-,-,-,-,-0.164 ,0.224 ,0,0,0,0,0,0,0,0,0
NM_016831,PER3,-,-,-,-,-,-0.740 ,0.224 ,1,2,0,1,1,0,0,0,0
NM_178351,LCE1C,-,-,-,-,-,0.244 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_024595,C1ORF108,-,-,-,-,-,-0.213 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_015350,LRRC8B,-,-,-,-,-,0.677 ,0.213 ,0,0,0,0,0,0,0,0,0
NM_001080426,DUSP27,-,-,-,-,-,-0.440 ,0.399 ,0,0,0,0,0,0,0,0,0
NM_198883,MTX1,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_006912,RIT1,-,-,-,-,-,0.285 ,0.210 ,0,0,0,0,0,0,0,0,0
NM_016190,CRNN,-,-,-,-,-,0.322 ,0.209 ,0,0,0,0,0,0,0,0,0
NM_019032,ADAMTSL4,-,-,-,-,-,0.000 ,2.051 ,0,0,0,0,0,0,0,0,0
NM_002036,DARC,-,-,-,-,-,0.095 ,0.332 ,0,0,0,0,0,0,0,0,0
NM_002924,RGS7,-,-,-,-,-,0.000 ,2.047 ,0,0,0,0,0,0,0,0,0
NM_000437,PAFAH2,-,-,-,-,-,0.021 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_006996,SLC19A2,-,-,-,-,-,-0.402 ,0.207 ,0,2,0,0,1,0,0,0,0
NM_153703,PODN,-,-,-,-,-,-0.113 ,1.060 ,0,0,0,0,0,0,0,0,0
NM_018997,MRPS21,-,-,-,-,-,0.076 ,0.204 ,0,0,0,0,0,0,0,0,0
NM_002113,CFHR1,-,-,-,-,-,0.103 ,0.334 ,0,0,0,1,0,0,0,0,0
NM_024554,PGBD5,-,-,-,-,-,-0.379 ,0.263 ,0,0,0,0,0,0,0,0,0
NM_020770,CGN,-,-,-,-,-,0.331 ,0.211 ,0,0,0,0,0,0,0,0,0
NM_001066,TNFRSF1B,-,-,-,-,-,0.373 ,0.301 ,0,0,0,0,0,0,0,0,0
NM_018156,VPS13D,-,-,-,-,-,-0.749 ,0.274 ,0,0,0,1,0,0,0,0,0
NM_030965,ST6GALNAC5,-,-,-,-,-,-0.309 ,0.606 ,0,1,0,1,0,0,0,0,0
NM_003094,SNRPE,4,23,0.035 ,0.007 ,0.072 ,-,-,0,0,0,0,0,0,0,0,0
NM_023015,INTS3,9,14,-0.068 ,-0.110 ,-0.007 ,-0.531 ,0.210 ,0,0,0,0,0,0,0,0,0
NM_001039775,AIM1L,-,-,-,-,-,-0.208 ,0.229 ,0,1,0,0,0,0,0,0,0
NM_002479,MYOG,-,-,-,-,-,0.306 ,0.209 ,0,0,0,0,0,0,0,0,0
NM_021797,CHIA,-,-,-,-,-,0.377 ,0.213 ,0,0,0,0,0,0,0,0,0
NM_021639,GPBP1L1,-,-,-,-,-,0.240 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_013285,GNL2,-,-,-,-,-,0.220 ,0.205 ,0,0,0,0,0,0,0,0,0
NM_030806,C1ORF21,-,-,-,-,-,-0.227 ,0.219 ,0,0,0,0,0,0,0,0,0
NM_022469,GREM2,-,-,-,-,-,0.003 ,0.204 ,0,0,1,0,0,0,0,0,0
NM_177539,TAS1R1,-,-,-,-,-,0.109 ,0.295 ,0,0,0,0,0,0,0,0,0
NM_001408,CELSR2,-,-,-,-,-,0.234 ,0.211 ,0,0,0,0,2,1,0,0,0
NM_000478,ALPL,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_001080438,A3GALT2,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0
NM_015291,DNAJC16,-,-,-,-,-,-0.600 ,0.285 ,0,0,0,0,1,0,0,0,0
NM_001285,CLCA1,-,-,-,-,-,0.516 ,1.163 ,0,0,0,0,0,0,0,0,0
NM_001031694,SCMH1,-,-,-,-,-,-0.340 ,0.207 ,0,0,0,0,0,0,0,1,0
NM_025106,SPSB1,-,-,-,-,-,0.120 ,0.206 ,0,1,0,0,0,0,0,0,0
NM_002533,NVL,-,-,-,-,-,-0.007 ,0.204 ,0,0,0,0,0,0,0,0,0
