Reference,Gene,Peptide,Protein,miR-17/20a_6mer,miR-17/20a_7mer-A1,miR-17/20a_7mer-m8,miR-17/20a_8mer,miR-18a_6mer,miR-18a_7mer-A1,miR-18a_7mer-m8,miR-18a_8mer,miR-19a/b_6mer,miR-19a/b_7mer-A1,miR-19a/b_7mer-m8,miR-19a/b_8mer,miR-92a_6mer,miR-92a_7mer-A1,miR-92a_7mer-m8,miR-92a_8mer
NM_006487,FBLN1,3,-0.858141488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_145698,ACBD5,8,-0.855188257,3,0,1,0,0,0,0,0,2,1,2,1,0,0,0,0
NM_002959,SORT1,2,-0.854788436,2,0,1,0,4,0,2,0,0,0,0,0,1,1,0,0
NM_000297,PKD2,5,-0.852931358,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
AK098336.1,PACS1,10,-0.852873138,2,0,2,0,0,0,0,0,2,1,2,1,1,0,0,0
NM_018026,PACS1,10,-0.852873138,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_006084,IRF9,2,-0.845750358,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_002389,CD46,2,-0.842205169,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
NM_007271,STK38,5,-0.833836316,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0
NM_005711,EDIL3,4,-0.820052182,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
NM_002372,MAN2A1,2,-0.818370492,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1
NM_016315,GULP1,3,-0.816770541,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
NM_014521,SH3BP4,5,-0.814630033,2,0,0,0,2,1,1,1,1,0,0,0,1,0,1,0
NM_006663,PPP1R13L,7,-0.8132669,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_002844,PTPRK,7,-0.797654465,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0
NM_001785,CDA,7,-0.796773979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_003959,HIP1R,4,-0.794299114,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001017977,IQWD1,4,-0.789647675,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
NM_001039960,SLC4A8,2,-0.7877569,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NM_004858,SLC4A8,2,-0.7877569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_139265,EHD4,15,-0.781065866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006317,BASP1,3,-0.760020354,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_017567,NAGK,2,-0.758935339,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_015459,ATL3,3,-0.750594372,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_014247,RAPGEF2,4,-0.747347112,1,0,1,0,0,0,0,0,3,3,2,2,0,0,0,0
NM_000692,ALDH1B1,6,-0.735721877,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_001042459,FILIP1L,3,-0.734606818,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_182909,FILIP1L,3,-0.734606818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020911,PLXNA4,3,-0.729594132,5,2,0,0,1,0,0,0,2,2,2,2,0,0,0,0
NM_181775,PLXNA4,3,-0.729594132,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_001105543,PLXNA4,3,-0.729594132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001099455,FLJ11151,2,-0.727932455,7,1,1,0,3,0,1,0,5,2,1,1,0,0,0,0
NM_025179,PLXNA2,2,-0.725837115,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_014748,SNX17,4,-0.706143495,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_001079673,FNDC3A,2,-0.700961496,2,1,2,1,1,1,0,0,1,0,1,0,1,0,0,0
NM_014363,SACS,4,-0.698756804,2,2,2,2,0,0,0,0,1,0,1,0,2,0,0,0
NM_001627,ALCAM,5,-0.698118658,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
NM_000526,KRT14,4,-0.695643676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000201,ICAM1,5,-0.689448189,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0
NM_007288,MME,10,-0.687447828,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0
NM_014689,DOCK10,4,-0.686693124,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_002318,LOXL2,5,-0.682957547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015030,FRYL,2,-0.677970884,1,1,0,0,2,0,1,0,0,0,0,0,3,2,0,0
NM_181832,NF2,4,-0.677619009,1,0,0,0,4,0,0,0,1,0,0,0,2,0,2,0
NM_001024948,FNBP1L,4,-0.677398103,5,3,3,2,1,0,1,0,1,1,0,0,0,0,0,0
NM_176870,MT1M,8,-0.672849842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_033375,MYO1C,12,-0.665774561,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0
NM_006005,WFS1,5,-0.664266127,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0
NM_014632,MICAL2,2,-0.663733304,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_001839,CNN3,41,-0.662223633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_203386,RNH1,8,-0.660525379,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AK095144.1,RNH1,8,-0.660525379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025201,PLEKHO2,2,-0.653390186,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012223,MYO1B,7,-0.652724793,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1
NM_014671,UBE3C,4,-0.652493373,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_003901,SGPL1,3,-0.65244514,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_007292,ACOX1,4,-0.646990312,4,1,1,0,1,0,0,0,0,0,0,0,4,0,1,0
NM_014844,KIAA0329,3,-0.644401754,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1
NM_002077,GOLGA1,6,-0.644282979,5,2,1,0,1,0,1,0,0,0,0,0,1,1,1,1
NM_005950,MT1G,10,-0.6381722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005952,MT1X,11,-0.637282514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_033546,MRLC2,28,-0.63622886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001010935,RAP1A,3,-0.636138336,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0
NM_004447,EPS8,4,-0.631834804,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_032408,BAZ1B,3,-0.624188257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_002705,PPL,6,-0.616550381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005953,MT2A,13,-0.610965529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004431,EPHA2,2,-0.603050636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_032242,PLXNA1,6,-0.601975507,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
NM_182760,SUMF1,4,-0.601348643,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004389,CTNNA2,4,-0.600879994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_181526,MYL9,22,-0.594735993,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_001387,DPYSL3,18,-0.588735601,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
NM_002473,MYH9,243,-0.585121141,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
NM_002076,GNS,18,-0.574724017,4,0,2,0,3,0,0,0,0,0,0,0,2,0,2,0
NM_006759,UGP2,3,-0.574704403,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BX537559.1,UGP2,3,-0.574704403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001008528,MXRA7,9,-0.571375635,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
NM_138335,GNPDA2,3,-0.570400842,3,0,2,0,1,0,1,0,0,0,0,0,2,1,0,0
NM_145034,TOR1AIP2,5,-0.569773182,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_014601,EHD2,11,-0.56909743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006290,TNFAIP3,2,-0.568736511,3,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0
NM_138285,NUP35,4,-0.567307843,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_021035,ZNFX1,3,-0.565993799,5,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0
NM_005951,MT1H,2,-0.563531212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012200,B3GAT3,2,-0.562660058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017951,SMPD4,2,-0.557843343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_022489,INF2,7,-0.556842145,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_201277,CNN2,40,-0.554324879,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_005554,KRT6A,3,-0.55229625,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_000088,COL1A1,6,-0.546245849,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001024943,ASL,4,-0.545602021,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000389,CDKN1A,3,-0.545513724,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0
NM_004566,PFKFB3,2,-0.544307326,5,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0
NM_005819,STX6,3,-0.543434869,2,0,1,0,2,0,0,0,3,0,1,0,1,0,0,0
NM_000527,LDLR,3,-0.542308293,5,0,4,0,0,0,0,0,5,0,3,0,1,0,0,0
NM_024940,DOCK5,2,-0.54188892,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
NM_005606,LGMN,2,-0.538274363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001931,MTUS1,3,-0.533881262,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0
NM_003768,PEA15,2,-0.526793919,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
NM_033394,TANC1,6,-0.526652205,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0
NM_001003794,MGLL,2,-0.525056045,2,1,0,0,1,0,1,0,0,0,0,0,2,1,1,0
NM_001723,DST,3,-0.522807366,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
NM_020388,DST,3,-0.522807366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_015548,DST,3,-0.522807366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001903,CTNNA1,19,-0.522106489,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_000700,ANXA1,12,-0.520255492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003139,SRPR,9,-0.519065079,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM_015470,RAB11FIP5,3,-0.5162069,2,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0
NM_021252,RAB18,3,-0.513125272,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
NM_003615,SLC4A7,3,-0.509186189,3,0,1,0,0,0,0,0,2,1,2,1,2,2,0,0
NM_006516,SLC2A1,12,-0.50889021,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_007118,TRIO,9,-0.508748125,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0
AL161955.1,TRIO,9,-0.508748125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_012232,PTRF,21,-0.508702425,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_079834,SCAMP4,2,-0.506437714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_181659,NCOA3,4,-0.502975536,5,1,2,1,1,0,1,0,0,0,0,0,2,1,0,0
NM_032550,AFAP1L2,8,-0.502851723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001792,CDH2,2,-0.501148666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005110,GFPT2,6,-0.497671265,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1
NM_001080512,BICC1,3,-0.495710464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002640,SERPINB8,2,-0.494705201,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001031848,SERPINB8,2,-0.494705201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_183227,RAB23,2,-0.493649061,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,1
NM_003878,GGH,3,-0.492999355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025139,ARMC9,7,-0.491892935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004390,CTSH,2,-0.482216856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003494,DYSF,4,-0.480315691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000146,FTL,3,-0.478519733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_003595,TPST2,2,-0.478366134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004785,SLC9A3R2,4,-0.478329679,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
NM_005892,FMNL1,10,-0.474203705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_201283,EGFR,4,-0.473496939,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_201284,EGFR,4,-0.473496939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005228,EGFR,4,-0.473496939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_201282,EGFR,4,-0.473496939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001624,AIM1,4,-0.473085356,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
NM_031483,ITCH,5,-0.473044584,3,1,1,0,0,0,0,0,2,1,0,0,3,2,0,0
NM_032309,CHCHD5,7,-0.472808994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001010972,ZYX,17,-0.472661572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025076,UXS1,2,-0.470325663,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_001040113,MYH11,14,-0.468580167,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
NM_033396,TNKS1BP1,15,-0.468341102,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_144573,NEXN,6,-0.467950983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_000224,KRT18,39,-0.465104336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004388,CTBS,3,-0.462557077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004111,FEN1,2,-0.461733767,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_024718,C9ORF86,2,-0.460748088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_002078,GOLGA4,11,-0.459565201,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM_023079,UBE2Z,16,-0.459483697,1,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1
NM_012090,MACF1,13,-0.458336662,3,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
AK023821.1,MACF1,13,-0.458336662,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_005401,PTPN14,3,-0.456853358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001499,GLE1,2,-0.454181208,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
NM_001003722,GLE1,2,-0.454181208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001100422,LOC26010,8,-0.453480213,0,0,0,0,1,0,1,0,3,1,2,1,1,0,1,0
AK090703.1,LOC26010,8,-0.453480213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_138555,KIF23,3,-0.450415961,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_014290,TDRD7,2,-0.450413695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_021964,ZNF148,2,-0.450062714,5,1,1,1,3,0,0,0,1,0,0,0,4,1,0,0
NM_022821,ELOVL1,3,-0.449822439,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
NM_001904,CTNNB1,15,-0.449708483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006197,PCM1,7,-0.449702569,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NM_017640,LRRC16A,2,-0.447457665,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
NM_024524,ATP13A3,2,-0.445796381,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0
NM_019012,PLEKHA5,5,-0.441485896,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NM_001126,ADSS,2,-0.440515525,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_058191,C21ORF66,3,-0.440097269,1,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0
NM_016631,C21ORF66,3,-0.440097269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_013329,C21ORF66,3,-0.440097269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_173086,KRT6C,10,-0.435878239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_006292,TSG101,2,-0.435367232,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001081492,KRT80,15,-0.432357134,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NM_012316,KPNA6,7,-0.430900157,2,0,2,0,4,0,1,0,2,1,2,1,0,0,0,0
NM_006936,SUMO3,2,-0.427773881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_139132,NUP98,8,-0.426274062,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005387,NUP98,8,-0.426274062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004237,TRIP13,8,-0.424702143,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NM_021947,SRR,2,-0.422514459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_172250,MMAA,2,-0.416268162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_021019,MYL6,13,-0.415351754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006600,ERBB2IP,14,-0.414148103,3,0,1,0,0,0,0,0,2,0,0,0,3,1,0,0
NM_004781,VAMP3,4,-0.414136158,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0
NM_001456,FLNA,71,-0.412903449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004333,BRAF,3,-0.412511991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_025137,SPG11,3,-0.409738174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AK024157.1,SPG11,3,-0.409738174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BC047416.1,SPG11,3,-0.409738174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_018235,CNDP2,18,-0.403950211,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
NM_003831,RIOK3,2,-0.403849646,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_175852,TXLNA,9,-0.402967677,2,0,2,0,1,0,1,0,2,2,1,1,2,0,1,0
NM_007114,TMF1,8,-0.397917184,1,0,1,0,0,0,0,0,1,1,0,0,4,2,1,1
NM_006455,SC65,2,-0.397624835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004804,CIAO1,2,-0.397392636,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_007198,PROSC,2,-0.39378521,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
NM_021151,CROT,3,-0.392945277,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
NM_005544,IRS1,3,-0.392681208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017827,SARS2,5,-0.391576382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_014822,SEC24D,13,-0.389443852,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
NM_078471,MYO18A,20,-0.389088862,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
NM_017556,FBLIM1,2,-0.386893699,3,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0
NM_001024215,FBLIM1,2,-0.386893699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_017857,SSH3,7,-0.385844608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_004239,TRIP11,9,-0.384937134,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
BC002656.2,TRIP11,9,-0.384937134,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_005895,GOLGA3,9,-0.383818356,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,1
NM_002947,RPA3,5,-0.383287607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_020202,NIT2,4,-0.383255424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_147152,ITSN2,10,-0.382449841,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
NM_006277,ITSN2,10,-0.382449841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_019613,WDR45L,2,-0.381615625,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
NM_000302,PLOD1,7,-0.380842385,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NM_001587,OCRL,5,-0.380672514,3,0,2,0,1,1,1,1,2,0,2,0,1,1,0,0
NM_002475,MYL6B,17,-0.379825522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
